"BehaviorSpace results (NetLogo 5.3.1)"
"drug_model.nlogo"
"experiment 1.0"
"04/18/2017 15:42:49:975 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tolerance_limit","no_of_dealers","no_of_consumers","consumer_network","franchise_limit","leave_consumer","surplus","suspicion","allow_direct_connection","new_consumer","[step]","mean [tax_paid] of consumers","mean [tax_collected] of consumers","mean [asked_someone_to_broker] of consumers","mean [brokered_for_someone] of consumers","mean [brokered_for_new_user] of consumers","mean [pinched] of consumers","mean [selling_price] of dealers","count dealers","count consumers"
"149","3","25","100","1","10","50","24","10","5","10","17279","1214.969387755102","1236.969387755102","152.85714285714286","63.42857142857143","62.36734693877551","10.139093342254936","122","9","98"
"148","3","25","100","1","10","50","24","10","5","10","17280","0","1286.121212121212","131.31313131313132","66.12121212121212","65.8989898989899","10.621467820031556","121.08695652173913","23","99"
"150","3","25","100","1","10","50","24","10","5","10","17280","0","1314.51","126.89","68.01","68.01","10.477352472089313","125.4","30","100"
"152","3","25","100","1","10","50","24","10","5","50","17279","1699.6565656565656","1652.3030303030303","142.4747474747475","84.18181818181819","86.66666666666667","11.765397634556516","140.4375","16","99"
"151","3","25","100","1","10","50","24","10","5","50","17280","0","1312.53","126.08","67.53","66.93","10.985216986980781","119.48148148148148","27","100"
"153","3","25","100","1","10","50","24","10","5","50","17280","0","1238.88","128.18","63.66","63.71","10.218800380831482","121.1923076923077","26","100"
"154","3","25","100","1","10","50","24","10","5","50","17280","0","1231.5728155339805","130.2135922330097","63.10679611650485","63.10679611650485","10.290020320614133","119.65217391304348","23","103"
"155","3","25","100","1","10","50","24","10","5","50","17279","1616.148514851485","1616.6831683168316","143.1089108910891","82.54455445544555","82.53465346534654","11.007204550242264","146.875","16","101"
"156","3","25","100","1","10","50","24","10","5","50","17280","0","1267.0686274509803","127.2843137254902","64.87254901960785","65.18627450980392","10.536953242835597","120.25","28","102"
"157","3","25","100","1","10","50","24","10","5","50","17280","0","1251.66","130.6","64.36","64.26","10.00890369876708","125.04166666666667","24","100"
"159","3","25","100","1","10","50","24","10","5","50","17279","1459.75","1459.7884615384614","141.48076923076923","74.28846153846153","74.29807692307692","10.93159562211982","133.53846153846155","13","104"
